matchup,game,starter,winner,agent1,agent2,nodes_agent1,nodes_agent2,time_agent1,time_agent2,cutoffs_agent1,cutoffs_agent2,moves,avg_time_early_agent1,avg_time_mid_agent1,avg_time_late_agent1,avg_time_overall_agent1,avg_time_early_agent2,avg_time_mid_agent2,avg_time_late_agent2,avg_time_overall_agent2,win_rate_agent1,win_rate_agent2
AB_d2_vs_Minimax_d2,1,AlphaBetaAgent_Depth2,AlphaBetaAgent_Depth2,AlphaBetaAgent_Depth2,MinimaxAgent_Depth2,4581,37919,3.530818793005892,32.86555016801867,580,0,23,0.2302305939992948,0.29368908350443235,0.3587850207477459,0.2942348994171577,1.2525657780012505,2.9915599374980957,4.2854032710056345,2.9877772880016975,0.4,0.5666666666666667
AB_d2_vs_Minimax_d2,2,AlphaBetaAgent_Depth2,MinimaxAgent_Depth2,AlphaBetaAgent_Depth2,MinimaxAgent_Depth2,5552,32170,4.535924666983192,28.05827175003651,416,0,18,0.04604145833582152,0.4323009583313251,1.0336324723272508,0.503991629664799,1.177726055670064,3.2273588750055446,4.9476723193365615,3.1175857500040567,0.4,0.5666666666666667
AB_d2_vs_Minimax_d2,3,AlphaBetaAgent_Depth2,MinimaxAgent_Depth2,AlphaBetaAgent_Depth2,MinimaxAgent_Depth2,13684,93752,11.230185082022217,82.21640883595683,1102,0,36,0.19993084700157246,0.24011939566601845,1.4316472710027786,0.6238991712234565,1.9324749376634525,5.248864875167783,6.521394993161569,4.567578268664268,0.4,0.5666666666666667
AB_d2_vs_Minimax_d2,4,AlphaBetaAgent_Depth2,MinimaxAgent_Depth2,AlphaBetaAgent_Depth2,MinimaxAgent_Depth2,12622,97483,10.255915374014876,85.41879195801448,1079,0,34,0.28400105550099397,0.4472188250045292,1.0526358193310443,0.6032891396479338,1.8204845665983158,5.000272416832256,7.719122437338228,5.024634821059675,0.4,0.5666666666666667
AB_d2_vs_Minimax_d2,5,AlphaBetaAgent_Depth2,AlphaBetaAgent_Depth2,AlphaBetaAgent_Depth2,MinimaxAgent_Depth2,34065,171344,29.23410583200166,152.29217383504147,1762,0,45,0.2732490102516749,1.04981781571405,2.4624236299987388,1.271048079652246,2.1925323630026208,7.085458380501223,11.465825750001907,6.922371537956431,0.4,0.5666666666666667
AB_d2_vs_Minimax_d2,6,AlphaBetaAgent_Depth2,MinimaxAgent_Depth2,AlphaBetaAgent_Depth2,MinimaxAgent_Depth2,5643,31721,4.604855748999398,27.37391750201641,417,0,18,0.04544556933493974,0.45128119399790495,1.038225153000288,0.5116506387777109,1.15438468066471,3.205066499998793,4.765187986675301,3.0415463891129346,0.4,0.5666666666666667
AB_d2_vs_Minimax_d2,7,AlphaBetaAgent_Depth2,MinimaxAgent_Depth2,AlphaBetaAgent_Depth2,MinimaxAgent_Depth2,5654,31763,4.604990956999245,27.382211168995127,413,0,18,0.04540152766276151,0.44077094400320976,1.0488245140004437,0.511665661888805,1.1507518893340603,3.199527069669178,4.777124763995137,3.042467907666125,0.4,0.5666666666666667
AB_d2_vs_Minimax_d2,8,AlphaBetaAgent_Depth2,AlphaBetaAgent_Depth2,AlphaBetaAgent_Depth2,MinimaxAgent_Depth2,20142,108657,16.758324081994942,95.44189262299915,1306,0,39,0.2341527677116184,1.1716450001695193,1.1556263867137855,0.8379162040997471,2.106435298497672,5.04157151185791,7.918713374834624,5.023257506473639,0.4,0.5666666666666667
AB_d2_vs_Minimax_d2,9,AlphaBetaAgent_Depth2,MinimaxAgent_Depth2,AlphaBetaAgent_Depth2,MinimaxAgent_Depth2,5830,31728,4.765418960014358,27.403604208971956,419,0,18,0.04537727800197899,0.4933145970038216,1.0497811116656521,0.529490995557151,1.1530313613329781,3.2067994859923297,4.774703888998677,3.0448449121079952,0.4,0.5666666666666667
AB_d2_vs_Minimax_d2,10,AlphaBetaAgent_Depth2,AlphaBetaAgent_Depth2,AlphaBetaAgent_Depth2,MinimaxAgent_Depth2,4152,29114,3.2291382499824977,24.933946459990693,464,0,19,0.2565599169950777,0.15876287467350872,0.4957924687441846,0.3229138249982498,1.1742055416640749,2.7138622779990933,4.423247667000396,2.7704384955545214,0.4,0.5666666666666667
AB_d2_vs_Minimax_d2,11,AlphaBetaAgent_Depth2,AlphaBetaAgent_Depth2,AlphaBetaAgent_Depth2,MinimaxAgent_Depth2,4255,28832,3.301790457975585,24.66590166799142,460,0,19,0.26530365233581205,0.19491462499233117,0.48028390649778885,0.3301790457975585,1.1693423890004244,2.6298514863301534,4.422773347333229,2.7406557408879357,0.4,0.5666666666666667
AB_d2_vs_Minimax_d2,12,AlphaBetaAgent_Depth2,AlphaBetaAgent_Depth2,AlphaBetaAgent_Depth2,MinimaxAgent_Depth2,17937,119995,14.770352708044811,105.8766564999969,1417,0,41,0.22475355371716432,0.2766475832863112,1.6086492498600689,0.7033501289545148,1.7837402986673017,5.143629297572521,8.452687089283634,5.2938328249998445,0.4,0.5666666666666667
AB_d2_vs_Minimax_d2,13,AlphaBetaAgent_Depth2,AlphaBetaAgent_Depth2,AlphaBetaAgent_Depth2,MinimaxAgent_Depth2,4485,37919,3.396613042030367,32.567409332987154,583,0,23,0.2413256352483586,0.28464797925698804,0.32317964600224514,0.28305108683586394,1.245840110995535,2.9906949062533386,4.216777343746799,2.960673575726105,0.4,0.5666666666666667
AB_d2_vs_Minimax_d2,14,AlphaBetaAgent_Depth2,AlphaBetaAgent_Depth2,AlphaBetaAgent_Depth2,MinimaxAgent_Depth2,20002,161708,16.370187419015565,143.59602883298066,1757,0,47,0.26064516137194005,0.914215203250933,0.8714130627540726,0.6820911424589818,2.45794182728527,6.163082395874881,9.635722109373091,6.243305601433942,0.4,0.5666666666666667
AB_d2_vs_Minimax_d2,15,AlphaBetaAgent_Depth2,AlphaBetaAgent_Depth2,AlphaBetaAgent_Depth2,MinimaxAgent_Depth2,3934,32589,2.976150621994748,27.991575667998404,513,0,21,0.24108233274819213,0.31219461099923745,0.26880936450106674,0.270559147454068,1.2486637783343515,2.997886926998035,4.08467887500107,2.7991575667998405,0.4,0.5666666666666667
AB_d2_vs_Minimax_d2,16,MinimaxAgent_Depth2,MinimaxAgent_Depth2,AlphaBetaAgent_Depth2,MinimaxAgent_Depth2,18950,134013,15.902630042983219,118.46718045603484,1355,0,39,0.5545519721636083,0.49773604185611475,1.515194319501461,0.8369805285780642,2.122641922571347,5.280131055335612,10.27541438086025,5.923359022801742,0.4,0.5666666666666667
AB_d2_vs_Minimax_d2,17,MinimaxAgent_Depth2,MinimaxAgent_Depth2,AlphaBetaAgent_Depth2,MinimaxAgent_Depth2,5003,39871,3.846606792023522,34.56588241699501,559,0,23,0.08938691667087066,0.28019321875763126,0.6144182917450962,0.3496915265475929,1.1403470420009398,3.1519594372475694,4.349164125000243,2.880490201416251,0.4,0.5666666666666667
AB_d2_vs_Minimax_d2,18,MinimaxAgent_Depth2,AlphaBetaAgent_Depth2,AlphaBetaAgent_Depth2,MinimaxAgent_Depth2,5857,28983,4.731347039982211,24.921603456983576,462,0,18,0.13199938866697872,0.9154939583337788,0.5296223329933127,0.5257052266646901,0.7641178749957666,2.770832527666547,4.772250749665545,2.769067050775953,0.4,0.5666666666666667
AB_d2_vs_Minimax_d2,19,MinimaxAgent_Depth2,MinimaxAgent_Depth2,AlphaBetaAgent_Depth2,MinimaxAgent_Depth2,37377,111312,32.12681870802771,97.94746287497401,1195,0,37,0.608921791499597,0.6930183471680115,4.052529646003677,1.7848232615570951,1.4226732569998906,4.783433409832166,8.672974696283095,5.155129624998632,0.4,0.5666666666666667
AB_d2_vs_Minimax_d2,20,MinimaxAgent_Depth2,MinimaxAgent_Depth2,AlphaBetaAgent_Depth2,MinimaxAgent_Depth2,20627,113490,17.313829209975665,99.89330899796914,1268,0,39,0.19194696533183256,0.7197375834283386,1.8539973889977166,0.9112541689460877,1.9994087915713732,5.012911569164619,7.974282577425973,4.9946654498984575,0.4,0.5666666666666667
AB_d2_vs_Minimax_d2,21,MinimaxAgent_Depth2,MinimaxAgent_Depth2,AlphaBetaAgent_Depth2,MinimaxAgent_Depth2,21280,113863,17.924613498034887,100.61002516504959,1272,0,39,0.1833317498336934,0.8172898748598527,1.8505989791689597,0.9434007104228888,2.0062197558602617,5.0305189096664735,8.054767630861274,5.03050125825248,0.4,0.5666666666666667
AB_d2_vs_Minimax_d2,22,MinimaxAgent_Depth2,MinimaxAgent_Depth2,AlphaBetaAgent_Depth2,MinimaxAgent_Depth2,115218,556910,108.86938037601067,527.9442488790373,5342,0,119,0.5077928443666009,1.5049856645520776,3.456080152100185,1.8452437351866215,5.296536400051264,11.228320818900102,9.8723552250005,8.799070814650623,0.4,0.5666666666666667
AB_d2_vs_Minimax_d2,23,MinimaxAgent_Depth2,MinimaxAgent_Depth2,AlphaBetaAgent_Depth2,MinimaxAgent_Depth2,26390,140495,22.50108374701813,124.19312100103707,1466,0,43,0.5434364640033371,0.6277577619995489,2.043246309285418,1.0714801784294348,1.807720262143578,5.25386312471736,9.345254661626313,5.645141863683503,0.4,0.5666666666666667
AB_d2_vs_Minimax_d2,24,MinimaxAgent_Depth2,MinimaxAgent_Depth2,AlphaBetaAgent_Depth2,MinimaxAgent_Depth2,26601,165457,22.24439845996676,147.81156045904208,1726,0,47,0.5011463868556477,1.198426984497928,1.1436197344992252,0.9671477591289895,2.4940876823784492,6.153153474126157,9.829203900875655,6.158815019126753,0.4,0.5666666666666667
AB_d2_vs_Minimax_d2,25,MinimaxAgent_Depth2,MinimaxAgent_Depth2,AlphaBetaAgent_Depth2,MinimaxAgent_Depth2,12447,66728,10.143588043036289,58.28032033299678,863,0,31,0.20727940040233078,0.6286927998007741,1.1927454084041529,0.6762392028690859,1.3919400667975423,3.718047999800183,5.455063333334692,3.6425200208122988,0.4,0.5666666666666667
AB_d2_vs_Minimax_d2,26,MinimaxAgent_Depth2,Draw,AlphaBetaAgent_Depth2,MinimaxAgent_Depth2,174642,731162,165.9291295769508,716.4113406670513,7872,0,225,2.0777550281353476,1.761857059104889,0.5973412240528961,1.4815100855084893,7.970759801527923,9.192033617188162,1.932032220342846,6.339923368734967,0.4,0.5666666666666667
AB_d2_vs_Minimax_d2,27,MinimaxAgent_Depth2,MinimaxAgent_Depth2,AlphaBetaAgent_Depth2,MinimaxAgent_Depth2,4362,33219,3.3349454599810997,28.601207082974724,485,0,21,0.09852306966786273,0.274313823247212,0.6473736526628878,0.33349454599810996,1.138343822749448,3.117425069324478,3.6738891460008745,2.600109734815884,0.4,0.5666666666666667
AB_d2_vs_Minimax_d2,28,MinimaxAgent_Depth2,AlphaBetaAgent_Depth2,AlphaBetaAgent_Depth2,MinimaxAgent_Depth2,45454,355610,39.343585583003005,328.50261520898493,3564,0,84,0.47072672621496686,1.0121920893559166,1.3273372975007598,0.9367520376905477,3.3020376664997975,9.40668085735524,10.755753991072456,7.821490838309165,0.4,0.5666666666666667
AB_d2_vs_Minimax_d2,29,MinimaxAgent_Depth2,MinimaxAgent_Depth2,AlphaBetaAgent_Depth2,MinimaxAgent_Depth2,41639,244891,36.1517925390217,222.33352395499242,2373,0,61,0.7168185582006117,1.0275834082989603,1.8707772874025976,1.2050597513007233,2.6497601998999016,6.100161124902661,12.257664609724253,7.172049159838465,0.4,0.5666666666666667
AB_d2_vs_Minimax_d2,30,MinimaxAgent_Depth2,AlphaBetaAgent_Depth2,AlphaBetaAgent_Depth2,MinimaxAgent_Depth2,42080,218182,36.012257835056516,196.55448992105084,2344,0,60,0.6167903543013381,1.6960736000037286,1.288361829200585,1.2004085945018839,2.7188157667027553,7.495871171099134,9.440762054303196,6.551816330701695,0.4,0.5666666666666667
